tic,date,gvkeyx,Closing Price,Daily High,Daily Low
I0003,22-06-22,3,3759.89,3801.79,3717.69
I0003,21-06-22,3,3764.79,3779.65,3715.31
I0003,17-06-22,3,3674.84,3707.71,3636.87
I0003,16-06-22,3,3666.77,3728.18,3639.77
I0003,15-06-22,3,3789.99,3837.56,3722.3
I0003,14-06-22,3,3735.48,3778.18,3705.68
I0003,13-06-22,3,3749.63,3838.15,3734.3
I0003,10-06-22,3,3900.86,3974.39,3900.16
I0003,09-06-22,3,4017.82,4119.1,4017.17
I0003,08-06-22,3,4115.77,4160.14,4107.2
I0003,07-06-22,3,4160.68,4164.86,4080.19
I0003,06-06-22,3,4121.43,4168.78,4109.18
I0003,03-06-22,3,4108.54,4142.67,4098.67
I0003,02-06-22,3,4176.82,4177.51,4074.37
I0003,01-06-22,3,4101.23,4166.54,4073.85
I0003,31-05-22,3,4132.15,4168.34,4104.88
I0003,27-05-22,3,4158.24,4158.49,4077.43
I0003,26-05-22,3,4057.84,4075.14,3984.6
I0003,25-05-22,3,3978.73,3999.33,3925.03
I0003,24-05-22,3,3941.48,3955.68,3875.13
I0003,23-05-22,3,3973.75,3981.88,3909.04
I0003,20-05-22,3,3901.36,3943.42,3810.32
I0003,19-05-22,3,3900.79,3945.96,3876.58
I0003,18-05-22,3,3923.68,4051.98,3911.91
I0003,17-05-22,3,4088.85,4090.72,4033.93
I0003,16-05-22,3,4008.01,4046.46,3983.99
I0003,13-05-22,3,4023.89,4038.88,3963.9
I0003,12-05-22,3,3930.08,3964.8,3858.87
I0003,11-05-22,3,3935.18,4049.09,3928.82
I0003,10-05-22,3,4001.05,4068.82,3958.17
I0003,09-05-22,3,3991.24,4081.27,3975.48
I0003,06-05-22,3,4123.34,4157.69,4067.91
I0003,05-05-22,3,4146.87,4270.43,4106.01
I0003,04-05-22,3,4300.17,4307.66,4148.91
I0003,03-05-22,3,4175.48,4200.1,4147.08
I0003,02-05-22,3,4155.38,4169.81,4062.51
I0003,29-04-22,3,4131.93,4269.68,4124.28
I0003,28-04-22,3,4287.5,4308.45,4188.63
I0003,27-04-22,3,4183.96,4240.71,4162.9
I0003,26-04-22,3,4175.2,4278.14,4175.04
I0003,25-04-22,3,4296.12,4299.02,4200.82
I0003,22-04-22,3,4271.78,4385.83,4267.62
I0003,21-04-22,3,4393.66,4512.94,4384.47
I0003,20-04-22,3,4459.45,4488.29,4448.76
I0003,19-04-22,3,4462.21,4471.03,4390.63
I0003,18-04-22,3,4391.69,4410.31,4370.3
I0003,14-04-22,3,4392.59,4460.46,4390.77
I0003,13-04-22,3,4446.59,4453.92,4392.7
I0003,12-04-22,3,4397.45,4471,4381.34
